Time,Font Porch,Living Room,Attic
0:00,41,62,80
0:15,45,60,82
0:30,43,72,82
0:45,41,72,85
1:00,42,65,85
1:15,42,74,82
1:30,42,71,85
1:45,43,70,81
2:00,46,67,81
2:15,44,63,80
2:30,40,59,85
2:45,49,71,84
3:00,43,73,83
3:15,41,69,80
3:30,44,64,85
3:45,45,61,81
4:00,50,71,82
4:15,44,73,81
4:30,54,65,83
4:45,52,72,85
5:00,50,69,81
5:15,51,74,83
5:30,55,63,80
5:45,50,73,81
6:00,50,69,84
6:15,54,73,80
6:30,53,64,82
6:45,50,59,87
7:00,52,61,86
7:15,50,71,88
7:30,55,73,85
7:45,58,65,85
8:00,51,68,88
8:15,59,70,88
8:30,54,70,87
8:45,51,71,87
9:00,63,65,89
9:15,70,64,87
9:30,65,66,87
9:45,61,65,86
10:00,70,65,90
10:15,60,59,90
10:30,62,72,86
10:45,69,61,87
11:00,61,79,86
11:15,67,79,88
11:30,68,70,88
11:45,62,69,89
12:00,63,69,89
12:15,60,74,85
12:30,60,77,86
12:45,77,77,87
13:00,72,78,89
13:15,75,76,88
13:30,77,80,85
13:45,74,70,86
14:00,74,76,88
14:15,79,79,88
14:30,80,70,87
14:45,74,73,87
15:00,79,69,87
15:15,70,77,85
15:30,73,75,89
15:45,75,71,89
16:00,79,76,90
16:15,80,76,89
16:30,65,73,89
16:45,70,71,87
17:00,60,74,90
17:15,63,63,87
17:30,65,56,87
17:45,66,60,89
18:00,63,56,81
18:15,65,61,82
18:30,61,60,81
18:45,64,63,84
19:00,64,60,84
19:15,66,64,85
19:30,60,62,82
19:45,65,59,80
20:00,50,64,83
20:15,54,63,80
20:30,57,66,83
20:45,51,61,84
21:00,57,69,84
21:15,56,66,82
21:30,51,67,80
21:45,57,66,82
22:00,60,66,84
22:15,59,63,82
22:30,57,55,81
22:45,42,60,80
23:00,46,67,83
23:15,50,60,84
23:30,42,69,81
23:45,47,64,80
,,,
,,,
